Eph_lab bin center    K_Eph    Error 
-inf  -1.210697e-01   5.459899e-03
 1.495000e+00   1.000000e+00   1.000604e-02
 2.485000e+00   1.000000e+00   1.142773e-02
 3.475000e+00   1.000000e+00   1.370691e-02
 4.465000e+00   1.000000e+00   1.434392e-02
 5.455000e+00   1.000000e+00   1.616757e-02
 6.445000e+00   1.000000e+00   1.635333e-02
 7.435000e+00   1.000000e+00   1.453342e-02
 8.425000e+00   1.000000e+00   1.798733e-02
 9.415000e+00   1.000000e+00   1.819741e-02
 1.040500e+01   1.000000e+00   2.209077e-02
 1.139500e+01   1.000000e+00   2.069716e-02
 1.238500e+01   1.000000e+00   2.233551e-02
 1.337500e+01   1.000000e+00   3.317891e-02
 1.436500e+01   1.000000e+00   2.839352e-02
 1.535500e+01   1.000000e+00   2.945272e-02
 1.634500e+01   1.000000e+00   3.024518e-02
 1.733500e+01   1.000000e+00   3.862055e-02
 1.832500e+01   1.000000e+00   3.965141e-02
 1.931500e+01   1.000000e+00   5.323824e-02
 2.030500e+01   1.000000e+00   4.327885e-02
 2.129500e+01   1.000000e+00   5.321168e-02
 2.228500e+01   1.000000e+00   6.394994e-02
 2.327500e+01   1.000000e+00   6.703699e-02
 2.426500e+01   1.000000e+00   6.608255e-02
 2.525500e+01   1.000000e+00   7.306673e-02
 2.624500e+01   1.000000e+00   7.868738e-02
 2.723500e+01   1.000000e+00   8.568916e-02
 2.822500e+01   1.000000e+00   1.206676e-01
 2.921500e+01   1.000000e+00   7.553922e-02
 3.020500e+01   4.000000e-01   7.133933e-02
 3.119500e+01   0.000000e+00   0.000000e+00
 3.218500e+01   0.000000e+00   0.000000e+00
 3.317500e+01   0.000000e+00   0.000000e+00
 3.416500e+01   0.000000e+00   0.000000e+00
 3.515500e+01   0.000000e+00   0.000000e+00
 3.614500e+01   0.000000e+00   0.000000e+00
 3.713500e+01   0.000000e+00   0.000000e+00
 3.812500e+01   0.000000e+00   0.000000e+00
 3.911500e+01   0.000000e+00   0.000000e+00
 4.010500e+01   0.000000e+00   0.000000e+00
 4.109500e+01   0.000000e+00   0.000000e+00
 4.208500e+01   0.000000e+00   0.000000e+00
 4.307500e+01   0.000000e+00   0.000000e+00
 4.406500e+01   0.000000e+00   0.000000e+00
 4.505500e+01   0.000000e+00   0.000000e+00
 4.604500e+01   0.000000e+00   0.000000e+00
 4.703500e+01   0.000000e+00   0.000000e+00
 4.802500e+01   0.000000e+00   0.000000e+00
 4.901500e+01   0.000000e+00   0.000000e+00
 5.000500e+01   0.000000e+00   0.000000e+00
 5.099500e+01   0.000000e+00   0.000000e+00
 5.198500e+01   0.000000e+00   0.000000e+00
 5.297500e+01   0.000000e+00   0.000000e+00
 5.396500e+01   0.000000e+00   0.000000e+00
 5.495500e+01   0.000000e+00   0.000000e+00
 5.594500e+01   0.000000e+00   0.000000e+00
 5.693500e+01   0.000000e+00   0.000000e+00
 5.792500e+01   0.000000e+00   0.000000e+00
 5.891500e+01   0.000000e+00   0.000000e+00
 5.990500e+01   0.000000e+00   0.000000e+00
 6.089500e+01   0.000000e+00   0.000000e+00
 6.188500e+01   0.000000e+00   0.000000e+00
 6.287500e+01   0.000000e+00   0.000000e+00
 6.386500e+01   0.000000e+00   0.000000e+00
 6.485500e+01   0.000000e+00   0.000000e+00
 6.584500e+01   0.000000e+00   0.000000e+00
 6.683500e+01   0.000000e+00   0.000000e+00
 6.782500e+01   0.000000e+00   0.000000e+00
 6.881500e+01   0.000000e+00   0.000000e+00
 6.980500e+01   0.000000e+00   0.000000e+00
 7.079500e+01   0.000000e+00   0.000000e+00
 7.178500e+01   0.000000e+00   0.000000e+00
 7.277500e+01   0.000000e+00   0.000000e+00
 7.376500e+01   0.000000e+00   0.000000e+00
 7.475500e+01   0.000000e+00   0.000000e+00
 7.574500e+01   0.000000e+00   0.000000e+00
 7.673500e+01   0.000000e+00   0.000000e+00
 7.772500e+01   0.000000e+00   0.000000e+00
 7.871500e+01   0.000000e+00   0.000000e+00
 7.970500e+01   0.000000e+00   0.000000e+00
 8.069500e+01   0.000000e+00   0.000000e+00
 8.168500e+01   0.000000e+00   0.000000e+00
 8.267500e+01   0.000000e+00   0.000000e+00
 8.366500e+01   0.000000e+00   0.000000e+00
 8.465500e+01   0.000000e+00   0.000000e+00
 8.564500e+01   0.000000e+00   0.000000e+00
 8.663500e+01   0.000000e+00   0.000000e+00
 8.762500e+01   0.000000e+00   0.000000e+00
 8.861500e+01   0.000000e+00   0.000000e+00
 8.960500e+01   0.000000e+00   0.000000e+00
 9.059500e+01   0.000000e+00   0.000000e+00
 9.158500e+01   0.000000e+00   0.000000e+00
 9.257500e+01   0.000000e+00   0.000000e+00
 9.356500e+01   0.000000e+00   0.000000e+00
 9.455500e+01   0.000000e+00   0.000000e+00
 9.554500e+01   0.000000e+00   0.000000e+00
 9.653500e+01   0.000000e+00   0.000000e+00
 9.752500e+01   0.000000e+00   0.000000e+00
 9.851500e+01   0.000000e+00   0.000000e+00
 9.950500e+01   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
