y5lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-1.996000e-01   0.000000e+00   0.000000e+00
-1.988000e-01   0.000000e+00   0.000000e+00
-1.980000e-01   0.000000e+00   0.000000e+00
-1.972000e-01   0.000000e+00   0.000000e+00
-1.964000e-01   0.000000e+00   0.000000e+00
-1.956000e-01   0.000000e+00   0.000000e+00
-1.948000e-01   0.000000e+00   0.000000e+00
-1.940000e-01   0.000000e+00   0.000000e+00
-1.932000e-01   0.000000e+00   0.000000e+00
-1.924000e-01   0.000000e+00   0.000000e+00
-1.916000e-01   0.000000e+00   0.000000e+00
-1.908000e-01   0.000000e+00   0.000000e+00
-1.900000e-01   0.000000e+00   0.000000e+00
-1.892000e-01   0.000000e+00   0.000000e+00
-1.884000e-01   0.000000e+00   0.000000e+00
-1.876000e-01   0.000000e+00   0.000000e+00
-1.868000e-01   0.000000e+00   0.000000e+00
-1.860000e-01   0.000000e+00   0.000000e+00
-1.852000e-01   0.000000e+00   0.000000e+00
-1.844000e-01   0.000000e+00   0.000000e+00
-1.836000e-01   0.000000e+00   0.000000e+00
-1.828000e-01   0.000000e+00   0.000000e+00
-1.820000e-01   0.000000e+00   0.000000e+00
-1.812000e-01   0.000000e+00   0.000000e+00
-1.804000e-01   0.000000e+00   0.000000e+00
-1.796000e-01   0.000000e+00   0.000000e+00
-1.788000e-01   0.000000e+00   0.000000e+00
-1.780000e-01   0.000000e+00   0.000000e+00
-1.772000e-01   0.000000e+00   0.000000e+00
-1.764000e-01   0.000000e+00   0.000000e+00
-1.756000e-01   0.000000e+00   0.000000e+00
-1.748000e-01   0.000000e+00   0.000000e+00
-1.740000e-01   0.000000e+00   0.000000e+00
-1.732000e-01   0.000000e+00   0.000000e+00
-1.724000e-01   0.000000e+00   0.000000e+00
-1.716000e-01   0.000000e+00   0.000000e+00
-1.708000e-01   0.000000e+00   0.000000e+00
-1.700000e-01   0.000000e+00   0.000000e+00
-1.692000e-01   0.000000e+00   0.000000e+00
-1.684000e-01   0.000000e+00   0.000000e+00
-1.676000e-01   0.000000e+00   0.000000e+00
-1.668000e-01   0.000000e+00   0.000000e+00
-1.660000e-01   0.000000e+00   0.000000e+00
-1.652000e-01   0.000000e+00   0.000000e+00
-1.644000e-01   0.000000e+00   0.000000e+00
-1.636000e-01   0.000000e+00   0.000000e+00
-1.628000e-01   0.000000e+00   0.000000e+00
-1.620000e-01   0.000000e+00   0.000000e+00
-1.612000e-01   0.000000e+00   0.000000e+00
-1.604000e-01   0.000000e+00   0.000000e+00
-1.596000e-01   0.000000e+00   0.000000e+00
-1.588000e-01   0.000000e+00   0.000000e+00
-1.580000e-01   0.000000e+00   0.000000e+00
-1.572000e-01   0.000000e+00   0.000000e+00
-1.564000e-01   0.000000e+00   0.000000e+00
-1.556000e-01   0.000000e+00   0.000000e+00
-1.548000e-01   0.000000e+00   0.000000e+00
-1.540000e-01   0.000000e+00   0.000000e+00
-1.532000e-01   0.000000e+00   0.000000e+00
-1.524000e-01   0.000000e+00   0.000000e+00
-1.516000e-01   0.000000e+00   0.000000e+00
-1.508000e-01   0.000000e+00   0.000000e+00
-1.500000e-01   0.000000e+00   0.000000e+00
-1.492000e-01   0.000000e+00   0.000000e+00
-1.484000e-01   0.000000e+00   0.000000e+00
-1.476000e-01   0.000000e+00   0.000000e+00
-1.468000e-01   0.000000e+00   0.000000e+00
-1.460000e-01   0.000000e+00   0.000000e+00
-1.452000e-01   0.000000e+00   0.000000e+00
-1.444000e-01   0.000000e+00   0.000000e+00
-1.436000e-01   0.000000e+00   0.000000e+00
