Eph_lab bin centers    value    Error 
-inf   1.351407e-02   1.154548e-02
 1.059500e+03   4.455327e-07   4.455327e-07
 3.078500e+03   5.597934e-08   5.451688e-08
 5.097500e+03   8.590362e-08   8.546876e-08
 7.116500e+03   1.822652e-09   1.822652e-09
 9.135500e+03   3.091784e-08   2.963413e-08
 1.115450e+04   1.514513e-10   1.375802e-10
 1.317350e+04   3.234256e-07   3.234200e-07
 1.519250e+04   1.394361e-09   1.394361e-09
 1.721150e+04   8.018779e-09   8.018779e-09
 1.923050e+04   3.022595e-07   2.514497e-07
 2.124950e+04   2.417129e-08   2.417129e-08
 2.326850e+04   3.246675e-09   3.241901e-09
 2.528750e+04   9.570482e-08   8.826851e-08
 2.730650e+04   8.153293e-09   8.153293e-09
 2.932550e+04   1.045374e-08   1.045374e-08
 3.134450e+04   0.000000e+00   0.000000e+00
 3.336350e+04   0.000000e+00   0.000000e+00
 3.538250e+04   0.000000e+00   0.000000e+00
 3.740150e+04   0.000000e+00   0.000000e+00
 3.942050e+04   0.000000e+00   0.000000e+00
 4.143950e+04   0.000000e+00   0.000000e+00
 4.345850e+04   0.000000e+00   0.000000e+00
 4.547750e+04   0.000000e+00   0.000000e+00
 4.749650e+04   0.000000e+00   0.000000e+00
 4.951550e+04   0.000000e+00   0.000000e+00
 5.153450e+04   0.000000e+00   0.000000e+00
 5.355350e+04   0.000000e+00   0.000000e+00
 5.557250e+04   0.000000e+00   0.000000e+00
 5.759150e+04   0.000000e+00   0.000000e+00
 5.961050e+04   0.000000e+00   0.000000e+00
 6.162950e+04   0.000000e+00   0.000000e+00
 6.364850e+04   0.000000e+00   0.000000e+00
 6.566750e+04   0.000000e+00   0.000000e+00
 6.768650e+04   0.000000e+00   0.000000e+00
 6.970550e+04   0.000000e+00   0.000000e+00
 7.172450e+04   0.000000e+00   0.000000e+00
 7.374350e+04   0.000000e+00   0.000000e+00
 7.576250e+04   0.000000e+00   0.000000e+00
 7.778150e+04   0.000000e+00   0.000000e+00
 7.980050e+04   0.000000e+00   0.000000e+00
 8.181950e+04   0.000000e+00   0.000000e+00
 8.383850e+04   0.000000e+00   0.000000e+00
 8.585750e+04   0.000000e+00   0.000000e+00
 8.787650e+04   0.000000e+00   0.000000e+00
 8.989550e+04   0.000000e+00   0.000000e+00
 9.191450e+04   0.000000e+00   0.000000e+00
 9.393350e+04   0.000000e+00   0.000000e+00
 9.595250e+04   0.000000e+00   0.000000e+00
 9.797150e+04   0.000000e+00   0.000000e+00
 9.999050e+04   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
