th5_cms bin center    K_th5    Error 
-inf   0.000000e+00   0.000000e+00
-1.188000e+01   0.000000e+00   0.000000e+00
-1.164000e+01   0.000000e+00   0.000000e+00
-1.140000e+01   0.000000e+00   0.000000e+00
-1.116000e+01   0.000000e+00   0.000000e+00
-1.092000e+01   0.000000e+00   0.000000e+00
-1.068000e+01   0.000000e+00   0.000000e+00
-1.044000e+01   0.000000e+00   0.000000e+00
-1.020000e+01   0.000000e+00   0.000000e+00
-9.960000e+00   0.000000e+00   0.000000e+00
-9.720000e+00   0.000000e+00   0.000000e+00
-9.480000e+00   0.000000e+00   0.000000e+00
-9.240000e+00   0.000000e+00   0.000000e+00
-9.000000e+00   0.000000e+00   0.000000e+00
-8.760000e+00   0.000000e+00   0.000000e+00
-8.520000e+00   0.000000e+00   0.000000e+00
-8.280000e+00   0.000000e+00   0.000000e+00
-8.040000e+00   0.000000e+00   0.000000e+00
-7.800000e+00   0.000000e+00   0.000000e+00
-7.560000e+00   0.000000e+00   0.000000e+00
-7.320000e+00   0.000000e+00   0.000000e+00
-7.080000e+00   0.000000e+00   0.000000e+00
-6.840000e+00   0.000000e+00   0.000000e+00
-6.600000e+00   0.000000e+00   0.000000e+00
-6.360000e+00   0.000000e+00   0.000000e+00
-6.120000e+00   0.000000e+00   0.000000e+00
-5.880000e+00   0.000000e+00   0.000000e+00
-5.640000e+00   0.000000e+00   0.000000e+00
-5.400000e+00   0.000000e+00   0.000000e+00
-5.160000e+00   0.000000e+00   0.000000e+00
-4.920000e+00   0.000000e+00   0.000000e+00
-4.680000e+00   0.000000e+00   0.000000e+00
-4.440000e+00   0.000000e+00   0.000000e+00
-4.200000e+00   0.000000e+00   0.000000e+00
-3.960000e+00   0.000000e+00   0.000000e+00
-3.720000e+00   0.000000e+00   0.000000e+00
-3.480000e+00   0.000000e+00   0.000000e+00
-3.240000e+00   0.000000e+00   0.000000e+00
-3.000000e+00   0.000000e+00   0.000000e+00
-2.760000e+00   0.000000e+00   0.000000e+00
-2.520000e+00   0.000000e+00   0.000000e+00
-2.280000e+00   0.000000e+00   0.000000e+00
-2.040000e+00   0.000000e+00   0.000000e+00
-1.800000e+00   0.000000e+00   0.000000e+00
-1.560000e+00   0.000000e+00   0.000000e+00
-1.320000e+00   0.000000e+00   0.000000e+00
-1.080000e+00   0.000000e+00   0.000000e+00
-8.400000e-01   0.000000e+00   0.000000e+00
-6.000000e-01   0.000000e+00   0.000000e+00
-3.600000e-01   0.000000e+00   0.000000e+00
-1.200000e-01   2.349173e-03   1.242669e-05
 1.200000e-01   0.000000e+00   0.000000e+00
 3.600000e-01   0.000000e+00   0.000000e+00
 6.000000e-01   0.000000e+00   0.000000e+00
 8.400000e-01   0.000000e+00   0.000000e+00
 1.080000e+00   0.000000e+00   0.000000e+00
 1.320000e+00   0.000000e+00   0.000000e+00
 1.560000e+00   0.000000e+00   0.000000e+00
 1.800000e+00   0.000000e+00   0.000000e+00
 2.040000e+00   0.000000e+00   0.000000e+00
 2.280000e+00   0.000000e+00   0.000000e+00
 2.520000e+00   0.000000e+00   0.000000e+00
 2.760000e+00   0.000000e+00   0.000000e+00
 3.000000e+00   0.000000e+00   0.000000e+00
 3.240000e+00   0.000000e+00   0.000000e+00
 3.480000e+00   0.000000e+00   0.000000e+00
 3.720000e+00   0.000000e+00   0.000000e+00
 3.960000e+00   0.000000e+00   0.000000e+00
 4.200000e+00   0.000000e+00   0.000000e+00
 4.440000e+00   0.000000e+00   0.000000e+00
 4.680000e+00   2.000000e-01   1.556603e-01
 4.920000e+00   0.000000e+00   0.000000e+00
 5.160000e+00   0.000000e+00   0.000000e+00
 5.400000e+00   0.000000e+00   0.000000e+00
 5.640000e+00   0.000000e+00   0.000000e+00
 5.880000e+00   0.000000e+00   0.000000e+00
 6.120000e+00   0.000000e+00   0.000000e+00
 6.360000e+00   0.000000e+00   0.000000e+00
 6.600000e+00   0.000000e+00   0.000000e+00
 6.840000e+00   0.000000e+00   0.000000e+00
 7.080000e+00   0.000000e+00   0.000000e+00
 7.320000e+00   0.000000e+00   0.000000e+00
 7.560000e+00   0.000000e+00   0.000000e+00
 7.800000e+00   0.000000e+00   0.000000e+00
 8.040000e+00   0.000000e+00   0.000000e+00
 8.280000e+00   0.000000e+00   0.000000e+00
 8.520000e+00   0.000000e+00   0.000000e+00
 8.760000e+00   0.000000e+00   0.000000e+00
 9.000000e+00   0.000000e+00   0.000000e+00
 9.240000e+00   0.000000e+00   0.000000e+00
 9.480000e+00   0.000000e+00   0.000000e+00
 9.720000e+00   0.000000e+00   0.000000e+00
 9.960000e+00   0.000000e+00   0.000000e+00
 1.020000e+01   0.000000e+00   0.000000e+00
 1.044000e+01   0.000000e+00   0.000000e+00
 1.068000e+01   0.000000e+00   0.000000e+00
 1.092000e+01   0.000000e+00   0.000000e+00
 1.116000e+01   0.000000e+00   0.000000e+00
 1.140000e+01   0.000000e+00   0.000000e+00
 1.164000e+01   0.000000e+00   0.000000e+00
 1.188000e+01   0.000000e+00   0.000000e+00
 inf   1.000000e+00   1.414214e+00
