Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   1.454358e-05   2.279643e-07
 9.500000e+02   2.617768e-03   4.488582e-05
 1.050000e+03   0.000000e+00   0.000000e+00
 1.150000e+03   0.000000e+00   0.000000e+00
 1.250000e+03   0.000000e+00   0.000000e+00
 1.350000e+03   0.000000e+00   0.000000e+00
 1.450000e+03   0.000000e+00   0.000000e+00
 1.550000e+03   0.000000e+00   0.000000e+00
 1.650000e+03   0.000000e+00   0.000000e+00
 1.750000e+03   0.000000e+00   0.000000e+00
 1.850000e+03   0.000000e+00   0.000000e+00
 1.950000e+03   0.000000e+00   0.000000e+00
 2.050000e+03   0.000000e+00   0.000000e+00
 2.150000e+03   0.000000e+00   0.000000e+00
 2.250000e+03   0.000000e+00   0.000000e+00
 2.350000e+03   0.000000e+00   0.000000e+00
 2.450000e+03   0.000000e+00   0.000000e+00
 2.550000e+03   0.000000e+00   0.000000e+00
 2.650000e+03   0.000000e+00   0.000000e+00
 2.750000e+03   0.000000e+00   0.000000e+00
 2.850000e+03   0.000000e+00   0.000000e+00
 2.950000e+03   0.000000e+00   0.000000e+00
 3.050000e+03   0.000000e+00   0.000000e+00
 3.150000e+03   0.000000e+00   0.000000e+00
 3.250000e+03   0.000000e+00   0.000000e+00
 3.350000e+03   0.000000e+00   0.000000e+00
 3.450000e+03   0.000000e+00   0.000000e+00
 3.550000e+03   0.000000e+00   0.000000e+00
 3.650000e+03   0.000000e+00   0.000000e+00
 3.750000e+03   0.000000e+00   0.000000e+00
 3.850000e+03   0.000000e+00   0.000000e+00
 3.950000e+03   0.000000e+00   0.000000e+00
 4.050000e+03   0.000000e+00   0.000000e+00
 4.150000e+03   0.000000e+00   0.000000e+00
 4.250000e+03   0.000000e+00   0.000000e+00
 4.350000e+03   0.000000e+00   0.000000e+00
 4.450000e+03   0.000000e+00   0.000000e+00
 4.550000e+03   0.000000e+00   0.000000e+00
 4.650000e+03   0.000000e+00   0.000000e+00
 4.750000e+03   0.000000e+00   0.000000e+00
 4.850000e+03   0.000000e+00   0.000000e+00
 4.950000e+03   0.000000e+00   0.000000e+00
 5.050000e+03   0.000000e+00   0.000000e+00
 5.150000e+03   0.000000e+00   0.000000e+00
 5.250000e+03   0.000000e+00   0.000000e+00
 5.350000e+03   0.000000e+00   0.000000e+00
 5.450000e+03   0.000000e+00   0.000000e+00
 5.550000e+03   0.000000e+00   0.000000e+00
 5.650000e+03   0.000000e+00   0.000000e+00
 5.750000e+03   0.000000e+00   0.000000e+00
 5.850000e+03   0.000000e+00   0.000000e+00
 5.950000e+03   0.000000e+00   0.000000e+00
