Eph_lab bin center    K_Eph    Error 
-inf   0.000000e+00   0.000000e+00
 7.040000e-01   1.000000e+00   2.694182e-01
 1.712000e+00   1.000000e+00   2.756721e-01
 2.720000e+00   1.000000e+00   2.846149e-01
 3.728000e+00   1.000000e+00   3.057536e-01
 4.736000e+00   1.000000e+00   3.028231e-01
 5.744000e+00   1.000000e+00   3.299475e-01
 6.752000e+00   1.000000e+00   3.062841e-01
 7.760000e+00   1.000000e+00   2.909186e-01
 8.768000e+00   1.000000e+00   3.407685e-01
 9.776000e+00   1.000000e+00   2.827326e-01
 1.078400e+01   1.000000e+00   2.995283e-01
 1.179200e+01   1.000000e+00   3.451044e-01
 1.280000e+01   1.000000e+00   3.858309e-01
 1.380800e+01   1.000000e+00   3.646878e-01
 1.481600e+01   1.000000e+00   4.114670e-01
 1.582400e+01   1.000000e+00   4.710956e-01
 1.683200e+01   1.000000e+00   4.399459e-01
 1.784000e+01   1.000000e+00   4.402645e-01
 1.884800e+01   1.000000e+00   4.131994e-01
 1.985600e+01   1.000000e+00   4.417510e-01
 2.086400e+01   1.000000e+00   3.366908e-01
 2.187200e+01   1.000000e+00   4.893227e-01
 2.288000e+01   1.000000e+00   5.731874e-01
 2.388800e+01   1.000000e+00   4.895990e-01
 2.489600e+01   1.000000e+00   4.206673e-01
 2.590400e+01   1.000000e+00   4.091750e-01
 2.691200e+01   1.000000e+00   3.655701e-01
 2.792000e+01   1.000000e+00   3.856287e-01
 2.892800e+01   6.000000e-01   4.133899e-01
 2.993600e+01   6.000000e-01   3.920435e-01
 3.094400e+01   0.000000e+00   0.000000e+00
 3.195200e+01   0.000000e+00   0.000000e+00
 3.296000e+01   0.000000e+00   0.000000e+00
 3.396800e+01   0.000000e+00   0.000000e+00
 3.497600e+01   0.000000e+00   0.000000e+00
 3.598400e+01   0.000000e+00   0.000000e+00
 3.699200e+01   0.000000e+00   0.000000e+00
 3.800000e+01   0.000000e+00   0.000000e+00
 3.900800e+01   0.000000e+00   0.000000e+00
 4.001600e+01   0.000000e+00   0.000000e+00
 4.102400e+01   0.000000e+00   0.000000e+00
 4.203200e+01   0.000000e+00   0.000000e+00
 4.304000e+01   0.000000e+00   0.000000e+00
 4.404800e+01   0.000000e+00   0.000000e+00
 4.505600e+01   0.000000e+00   0.000000e+00
 4.606400e+01   0.000000e+00   0.000000e+00
 4.707200e+01   0.000000e+00   0.000000e+00
 4.808000e+01   0.000000e+00   0.000000e+00
 4.908800e+01   0.000000e+00   0.000000e+00
 5.009600e+01   0.000000e+00   0.000000e+00
 5.110400e+01   0.000000e+00   0.000000e+00
 5.211200e+01   0.000000e+00   0.000000e+00
 5.312000e+01   0.000000e+00   0.000000e+00
 5.412800e+01   0.000000e+00   0.000000e+00
 5.513600e+01   0.000000e+00   0.000000e+00
 5.614400e+01   0.000000e+00   0.000000e+00
 5.715200e+01   0.000000e+00   0.000000e+00
 5.816000e+01   0.000000e+00   0.000000e+00
 5.916800e+01   0.000000e+00   0.000000e+00
 6.017600e+01   0.000000e+00   0.000000e+00
 6.118400e+01   0.000000e+00   0.000000e+00
 6.219200e+01   0.000000e+00   0.000000e+00
 6.320000e+01   0.000000e+00   0.000000e+00
 6.420800e+01   0.000000e+00   0.000000e+00
 6.521600e+01   0.000000e+00   0.000000e+00
 6.622400e+01   0.000000e+00   0.000000e+00
 6.723200e+01   0.000000e+00   0.000000e+00
 6.824000e+01   0.000000e+00   0.000000e+00
 6.924800e+01   0.000000e+00   0.000000e+00
 7.025600e+01   0.000000e+00   0.000000e+00
 7.126400e+01   0.000000e+00   0.000000e+00
 7.227200e+01   0.000000e+00   0.000000e+00
 7.328000e+01   0.000000e+00   0.000000e+00
 7.428800e+01   0.000000e+00   0.000000e+00
 7.529600e+01   0.000000e+00   0.000000e+00
 7.630400e+01   0.000000e+00   0.000000e+00
 7.731200e+01   0.000000e+00   0.000000e+00
 7.832000e+01   0.000000e+00   0.000000e+00
 7.932800e+01   0.000000e+00   0.000000e+00
 8.033600e+01   0.000000e+00   0.000000e+00
 8.134400e+01   0.000000e+00   0.000000e+00
 8.235200e+01   0.000000e+00   0.000000e+00
 8.336000e+01   0.000000e+00   0.000000e+00
 8.436800e+01   0.000000e+00   0.000000e+00
 8.537600e+01   0.000000e+00   0.000000e+00
 8.638400e+01   0.000000e+00   0.000000e+00
 8.739200e+01   0.000000e+00   0.000000e+00
 8.840000e+01   0.000000e+00   0.000000e+00
 8.940800e+01   0.000000e+00   0.000000e+00
 9.041600e+01   0.000000e+00   0.000000e+00
 9.142400e+01   0.000000e+00   0.000000e+00
 9.243200e+01   0.000000e+00   0.000000e+00
 9.344000e+01   0.000000e+00   0.000000e+00
 9.444800e+01   0.000000e+00   0.000000e+00
 9.545600e+01   0.000000e+00   0.000000e+00
 9.646400e+01   0.000000e+00   0.000000e+00
 9.747200e+01   0.000000e+00   0.000000e+00
 9.848000e+01   0.000000e+00   0.000000e+00
 9.948800e+01   0.000000e+00   0.000000e+00
 1.004960e+02   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
