th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 3.017000e-04   0.000000e+00   0.000000e+00
 3.051000e-04   0.000000e+00   0.000000e+00
 3.085000e-04   0.000000e+00   0.000000e+00
 3.119000e-04   0.000000e+00   0.000000e+00
 3.153000e-04   0.000000e+00   0.000000e+00
 3.187000e-04   0.000000e+00   0.000000e+00
 3.221000e-04   0.000000e+00   0.000000e+00
 3.255000e-04   0.000000e+00   0.000000e+00
 3.289000e-04   0.000000e+00   0.000000e+00
 3.323000e-04   0.000000e+00   0.000000e+00
 3.357000e-04   0.000000e+00   0.000000e+00
 3.391000e-04   0.000000e+00   0.000000e+00
 3.425000e-04   0.000000e+00   0.000000e+00
 3.459000e-04   0.000000e+00   0.000000e+00
 3.493000e-04   0.000000e+00   0.000000e+00
 3.527000e-04   0.000000e+00   0.000000e+00
 3.561000e-04   0.000000e+00   0.000000e+00
 3.595000e-04   0.000000e+00   0.000000e+00
 3.629000e-04   0.000000e+00   0.000000e+00
 3.663000e-04   0.000000e+00   0.000000e+00
 3.697000e-04   0.000000e+00   0.000000e+00
 3.731000e-04   0.000000e+00   0.000000e+00
 3.765000e-04   0.000000e+00   0.000000e+00
 3.799000e-04   0.000000e+00   0.000000e+00
 3.833000e-04   0.000000e+00   0.000000e+00
 3.867000e-04   0.000000e+00   0.000000e+00
 3.901000e-04   0.000000e+00   0.000000e+00
 3.935000e-04   0.000000e+00   0.000000e+00
 3.969000e-04   0.000000e+00   0.000000e+00
 4.003000e-04   0.000000e+00   0.000000e+00
 4.037000e-04   0.000000e+00   0.000000e+00
 4.071000e-04   0.000000e+00   0.000000e+00
 4.105000e-04   0.000000e+00   0.000000e+00
 4.139000e-04   0.000000e+00   0.000000e+00
 4.173000e-04   0.000000e+00   0.000000e+00
 4.207000e-04   0.000000e+00   0.000000e+00
 4.241000e-04   0.000000e+00   0.000000e+00
 4.275000e-04   0.000000e+00   0.000000e+00
 4.309000e-04   0.000000e+00   0.000000e+00
 4.343000e-04   0.000000e+00   0.000000e+00
 4.377000e-04   0.000000e+00   0.000000e+00
 4.411000e-04   0.000000e+00   0.000000e+00
 4.445000e-04   0.000000e+00   0.000000e+00
 4.479000e-04   0.000000e+00   0.000000e+00
 4.513000e-04   0.000000e+00   0.000000e+00
 4.547000e-04   0.000000e+00   0.000000e+00
 4.581000e-04   0.000000e+00   0.000000e+00
 4.615000e-04   0.000000e+00   0.000000e+00
 4.649000e-04   0.000000e+00   0.000000e+00
 4.683000e-04   0.000000e+00   0.000000e+00
 4.717000e-04   0.000000e+00   0.000000e+00
 4.751000e-04   0.000000e+00   0.000000e+00
 4.785000e-04   0.000000e+00   0.000000e+00
 4.819000e-04   0.000000e+00   0.000000e+00
 4.853000e-04   0.000000e+00   0.000000e+00
 4.887000e-04   0.000000e+00   0.000000e+00
 4.921000e-04   0.000000e+00   0.000000e+00
 4.955000e-04   0.000000e+00   0.000000e+00
 4.989000e-04   0.000000e+00   0.000000e+00
 5.023000e-04   0.000000e+00   0.000000e+00
 5.057000e-04   0.000000e+00   0.000000e+00
 5.091000e-04   0.000000e+00   0.000000e+00
 5.125000e-04   0.000000e+00   0.000000e+00
 5.159000e-04   0.000000e+00   0.000000e+00
 5.193000e-04   0.000000e+00   0.000000e+00
 5.227000e-04   0.000000e+00   0.000000e+00
 5.261000e-04   0.000000e+00   0.000000e+00
 5.295000e-04   0.000000e+00   0.000000e+00
 5.329000e-04   0.000000e+00   0.000000e+00
 5.363000e-04   0.000000e+00   0.000000e+00
 5.397000e-04   0.000000e+00   0.000000e+00
 5.431000e-04   0.000000e+00   0.000000e+00
 5.465000e-04   0.000000e+00   0.000000e+00
 5.499000e-04   0.000000e+00   0.000000e+00
 5.533000e-04   0.000000e+00   0.000000e+00
 5.567000e-04   0.000000e+00   0.000000e+00
 5.601000e-04   0.000000e+00   0.000000e+00
 5.635000e-04   0.000000e+00   0.000000e+00
 5.669000e-04   0.000000e+00   0.000000e+00
 5.703000e-04   0.000000e+00   0.000000e+00
 5.737000e-04   0.000000e+00   0.000000e+00
 5.771000e-04   0.000000e+00   0.000000e+00
 5.805000e-04   0.000000e+00   0.000000e+00
 5.839000e-04   0.000000e+00   0.000000e+00
 5.873000e-04   0.000000e+00   0.000000e+00
 5.907000e-04   0.000000e+00   0.000000e+00
 5.941000e-04   0.000000e+00   0.000000e+00
 5.975000e-04   0.000000e+00   0.000000e+00
 6.009000e-04   0.000000e+00   0.000000e+00
 6.043000e-04   0.000000e+00   0.000000e+00
 6.077000e-04   0.000000e+00   0.000000e+00
 6.111000e-04   0.000000e+00   0.000000e+00
 6.145000e-04   0.000000e+00   0.000000e+00
